element_type,now_cost,team_code,total_points,web_name
2,52,49,142,Stevens
2,42,49,2,Freeman
2,45,49,111,O'Connell
2,50,49,142,Baldock
2,47,49,133,Egan
2,39,49,0,Stearman
2,46,49,144,Lundstram
4,52,49,57,Sharp
1,43,49,0,Eastwood
3,52,49,0,Duffy
3,47,49,101,Fleck
3,47,49,98,Norwood
4,54,49,65,McGoldrick
2,46,49,123,Basham
1,43,49,3,Moore
3,50,49,13,Freeman
2,41,49,6,Jagielka
3,49,49,33,Callum Robinson
3,45,49,1,Morrison
1,52,49,160,Henderson
3,47,49,19,Osborn
4,55,49,86,McBurnie
1,44,49,0,Verrips
3,43,49,9,Bešić
4,44,49,2,Clarke
3,45,49,1,Rodwell
2,40,49,14,Jack Robinson
3,47,49,40,Berge
4,47,49,5,Zivkovic
2,45,49,0,Retsos
2,45,20,51,Vestergaard
2,48,20,75,Bertrand
2,46,20,18,Valery
2,44,20,84,Bednarek
2,44,20,85,Stephens
2,41,20,10,Yoshida
2,39,20,0,Ramsay
4,60,20,0,Austin
4,76,20,198,Ings
4,49,20,45,Obafemi
4,46,20,62,Long
4,45,20,0,Gallagher
1,42,20,0,Forster
1,45,20,104,McCarthy
1,42,20,29,Gunn
3,62,20,107,Redmond
3,57,20,117,Ward-Prowse
3,52,20,0,Elyounoussi
3,52,20,98,Armstrong
3,46,20,0,Lemina
3,48,20,75,Højbjerg
3,44,20,0,Johnson
3,44,20,0,Slattery
3,43,20,51,Oriol Romeu
2,44,20,32,Walker-Peters
4,53,20,78,Adams
3,52,20,40,Djenepo
2,42,20,0,Hoedt
3,55,20,34,Boufal
2,42,20,9,Danso
4,44,20,0,N'Lundulu
1,40,20,0,Lewis
3,45,20,24,Smallbone
3,45,20,1,Tella
2,40,20,2,Vokins
3,45,20,0,Jankewitz
3,45,20,0,Ferry
3,45,20,0,Maddox
2,53,6,41,Davies
2,52,6,62,Vertonghen
2,53,6,97,Alderweireld
2,53,6,64,Sánchez
2,55,6,0,Trippier
2,48,6,3,Foyth
2,51,6,124,Aurier
4,110,6,158,Kane
4,45,6,0,Janssen
1,53,6,98,Lloris
1,41,6,58,Gazzaniga
3,97,6,169,Son
3,86,6,48,Eriksen
3,83,6,117,Alli
3,70,6,100,Lucas Moura
3,57,6,65,Lamela
3,52,6,52,Winks
3,47,6,1,Wanyama
3,48,6,69,Sissoko
3,48,6,36,Dier
3,44,6,0,Amos
3,42,6,7,Skipp
3,58,6,45,Ndombele
4,43,6,2,Parrott
3,73,6,54,Lo Celso
3,54,6,9,Sessegnon
3,50,6,1,Nkoudou
1,40,6,0,Whiteman
1,42,6,0,Vorm
1,40,6,0,Austin
2,39,6,17,Tanganga
3,46,6,7,Fernandes
3,69,6,43,Bergwijn
3,45,6,0,White
2,40,6,0,Cirkin
2,46,57,21,Holebas
2,43,57,73,Kabasele
2,43,57,66,Masina
2,41,57,26,Mariappa
2,42,57,54,Kiko Femenía
2,41,57,77,Cathcart
2,40,57,36,Janmaat
2,39,57,0,Navarro
2,39,57,1,Prödl
4,62,57,109,Deeney
4,61,57,88,Deulofeu
4,55,57,39,Gray
4,47,57,4,Success
1,49,57,137,Foster
1,42,57,0,Dahlberg
3,54,57,113,Doucouré
3,56,57,60,Pereyra
3,53,57,62,Hughes
3,48,57,33,Cleverley
3,47,57,0,Sema
3,48,57,78,Capoue
3,44,57,36,Chalobah
3,43,57,4,Quina
2,48,57,61,Dawson
4,58,57,39,Welbeck
1,43,57,0,Gomes
3,59,57,107,Sarr
2,39,57,1,Foulquier
3,44,57,0,Dele-Bashiru
4,48,57,3,João Pedro
3,46,57,6,Pussetto
4,45,57,0,Peñaranda
2,45,21,79,Cresswell
2,45,21,81,Ogbonna
2,41,21,26,Masuaku
2,41,21,10,Zabaleta
2,44,21,74,Fredericks
2,43,21,76,Diop
2,43,21,40,Balbuena
2,39,21,0,Reid
2,40,21,6,Johnson
4,70,21,0,Arnautovic
4,60,21,9,Chicharito
4,43,21,0,Xande Silva
1,49,21,83,Fabianski
3,71,21,111,Antonio
3,66,21,66,Felipe Anderson
3,61,21,50,Lanzini
3,52,21,70,Yarmolenko
3,50,21,87,Snodgrass
3,46,21,8,Wilshere
3,47,21,105,Rice
3,49,21,105,Noble
3,43,21,7,Carlos Sánchez
3,43,21,0,Diangana
3,60,21,93,Fornals
3,45,21,0,Obiang
1,44,21,18,Roberto
4,68,21,102,Haller
4,56,21,9,Ajeti
1,39,21,20,Martin
3,44,21,2,Holland
1,40,21,0,Anang
2,40,21,8,Ngakia
2,40,21,0,Cardoso
3,45,21,0,Rosa
1,39,21,3,Randolph
3,48,21,41,Soucek
3,64,21,44,Bowen
3,45,21,0,Lewis
3,45,21,0,Coventry
2,65,39,167,Doherty
2,55,39,123,Jonny
2,51,39,118,Coady
2,49,39,97,Boly
2,41,39,32,Vinagre
2,47,39,103,Saïss
2,39,39,5,Kilman
4,80,39,194,Jiménez
4,60,39,105,Jota
1,53,39,153,Patrício
1,42,39,0,Ruddy
1,39,39,0,Norris
3,52,39,97,Neves
3,53,39,113,Moutinho
3,47,39,11,Gibbs-White
3,56,39,130,Traoré
3,48,39,0,Costa
3,49,39,0,Cavaleiro
3,44,39,100,Dendoncker
2,46,39,1,Vallejo
4,54,39,23,Cutrone
3,49,39,57,Neto
4,45,39,0,Ashley-Seal
3,45,39,0,Perry
3,45,39,0,Otasowie
3,45,39,0,Cundle
2,40,39,0,Buur
2,39,39,0,Giles
3,45,39,1,Jordao
3,49,39,25,Podence
4,45,39,0,Campana
